year,city,country,avg_temp
2013,Rio De Janeiro,Brazil,25.19
2012,Rio De Janeiro,Brazil,24.84
2011,Rio De Janeiro,Brazil,24.32
2010,Rio De Janeiro,Brazil,24.95
2009,Rio De Janeiro,Brazil,24.98
2008,Rio De Janeiro,Brazil,24.26
2007,Rio De Janeiro,Brazil,24.78
2006,Rio De Janeiro,Brazil,24.57
2005,Rio De Janeiro,Brazil,24.79
2004,Rio De Janeiro,Brazil,24.24
2003,Rio De Janeiro,Brazil,24.90
2002,Rio De Janeiro,Brazil,25.18
2001,Rio De Janeiro,Brazil,24.99
2000,Rio De Janeiro,Brazil,24.36
1999,Rio De Janeiro,Brazil,24.01
1998,Rio De Janeiro,Brazil,24.78
1997,Rio De Janeiro,Brazil,24.71
1996,Rio De Janeiro,Brazil,24.28
1995,Rio De Janeiro,Brazil,24.77
1994,Rio De Janeiro,Brazil,24.71
1993,Rio De Janeiro,Brazil,24.65
1992,Rio De Janeiro,Brazil,24.24
1991,Rio De Janeiro,Brazil,24.25
1990,Rio De Janeiro,Brazil,24.64
1989,Rio De Janeiro,Brazil,24.07
1988,Rio De Janeiro,Brazil,24.00
1987,Rio De Janeiro,Brazil,24.55
1986,Rio De Janeiro,Brazil,24.75
1985,Rio De Janeiro,Brazil,24.10
1984,Rio De Janeiro,Brazil,24.62
1983,Rio De Janeiro,Brazil,24.14
1982,Rio De Janeiro,Brazil,24.02
1981,Rio De Janeiro,Brazil,24.02
1980,Rio De Janeiro,Brazil,24.35
1979,Rio De Janeiro,Brazil,23.61
1978,Rio De Janeiro,Brazil,24.01
1977,Rio De Janeiro,Brazil,24.64
1976,Rio De Janeiro,Brazil,23.77
1975,Rio De Janeiro,Brazil,23.57
1974,Rio De Janeiro,Brazil,23.92
1973,Rio De Janeiro,Brazil,24.38
1972,Rio De Janeiro,Brazil,24.41
1971,Rio De Janeiro,Brazil,24.00
1970,Rio De Janeiro,Brazil,24.06
1969,Rio De Janeiro,Brazil,24.15
1968,Rio De Janeiro,Brazil,23.30
1967,Rio De Janeiro,Brazil,24.20
1966,Rio De Janeiro,Brazil,24.36
1965,Rio De Janeiro,Brazil,24.30
1964,Rio De Janeiro,Brazil,23.47
1963,Rio De Janeiro,Brazil,24.29
1962,Rio De Janeiro,Brazil,23.44
1961,Rio De Janeiro,Brazil,24.64
1960,Rio De Janeiro,Brazil,23.80
1959,Rio De Janeiro,Brazil,24.61
1958,Rio De Janeiro,Brazil,24.62
1957,Rio De Janeiro,Brazil,23.97
1956,Rio De Janeiro,Brazil,23.47
1955,Rio De Janeiro,Brazil,23.62
1954,Rio De Janeiro,Brazil,24.22
1953,Rio De Janeiro,Brazil,24.01
1952,Rio De Janeiro,Brazil,23.97
1951,Rio De Janeiro,Brazil,23.25
1950,Rio De Janeiro,Brazil,24.03
1949,Rio De Janeiro,Brazil,23.56
1948,Rio De Janeiro,Brazil,24.02
1947,Rio De Janeiro,Brazil,23.63
1946,Rio De Janeiro,Brazil,24.34
1945,Rio De Janeiro,Brazil,23.61
1944,Rio De Janeiro,Brazil,23.85
1943,Rio De Janeiro,Brazil,23.54
1942,Rio De Janeiro,Brazil,23.86
1941,Rio De Janeiro,Brazil,24.22
1940,Rio De Janeiro,Brazil,24.17
1939,Rio De Janeiro,Brazil,23.95
1938,Rio De Janeiro,Brazil,23.92
1937,Rio De Janeiro,Brazil,23.61
1936,Rio De Janeiro,Brazil,24.02
1935,Rio De Janeiro,Brazil,23.89
1934,Rio De Janeiro,Brazil,23.79
1933,Rio De Janeiro,Brazil,23.01
1932,Rio De Janeiro,Brazil,24.23
1931,Rio De Janeiro,Brazil,23.54
1930,Rio De Janeiro,Brazil,24.04
1929,Rio De Janeiro,Brazil,23.80
1928,Rio De Janeiro,Brazil,24.09
1927,Rio De Janeiro,Brazil,23.67
1926,Rio De Janeiro,Brazil,23.83
1925,Rio De Janeiro,Brazil,23.49
1924,Rio De Janeiro,Brazil,23.25
1923,Rio De Janeiro,Brazil,23.85
1922,Rio De Janeiro,Brazil,23.91
1921,Rio De Janeiro,Brazil,23.41
1920,Rio De Janeiro,Brazil,23.64
1919,Rio De Janeiro,Brazil,23.73
1918,Rio De Janeiro,Brazil,23.26
1917,Rio De Janeiro,Brazil,22.62
1916,Rio De Janeiro,Brazil,23.52
1915,Rio De Janeiro,Brazil,24.06
1914,Rio De Janeiro,Brazil,24.28
1913,Rio De Janeiro,Brazil,23.72
1912,Rio De Janeiro,Brazil,23.48
1911,Rio De Janeiro,Brazil,23.36
1910,Rio De Janeiro,Brazil,23.31
1909,Rio De Janeiro,Brazil,23.33
1908,Rio De Janeiro,Brazil,23.57
1907,Rio De Janeiro,Brazil,23.36
1906,Rio De Janeiro,Brazil,23.74
1905,Rio De Janeiro,Brazil,23.84
1904,Rio De Janeiro,Brazil,23.17
